name,size,cost,discount,original_name,original_price
Diamond Twist Bypass Ring in 10K Rose Gold, 1/4 CT. T.W., $529.99, 21%, 1/4 CT. T.W. Diamond Twist Bypass Ring in 10K Rose Gold, $529.99  (21% off)
Enchanted Disney Villains Cruella De Vil  Diamond Crown Ring in Sterling Silver, 1/5 CT. T.W., $299.99, 21%, Enchanted Disney Villains Cruella De Vil 1/5 CT. T.W. Diamond Crown Ring in Sterling Silver, $299.99  (21% off)
Enchanted Disney Majestic Princess  Diamond Castle Ring in Sterling Silver and 10K Gold, 1/6 CT. T.W., $499.99, 21%, Enchanted Disney Majestic Princess 1/6 CT. T.W. Diamond Castle Ring in Sterling Silver and 10K Gold, $499.99  (21% off)
Enhanced Blue and White Diamond Accent Infinity with Heart Ring in 10K White Gold, Na, $229.99, 20%, Enhanced Blue and White Diamond Accent Infinity with Heart Ring in 10K White Gold, $229.99  (20% off)
Champagne and White Composite Diamond Square Frame Heart-Sides Ring in 10K Rose Gold, 1/4 CT. T.W., $369.99, 21%, 1/4 CT. T.W. Champagne and White Composite Diamond Square Frame Heart-Sides Ring in 10K Rose Gold, $369.99  (21% off)
Diamond Twist Contour Wedding Band in 14K White Gold, 1/10 CT. T.W., $429.99, 20%, 1/10 CT. T.W. Diamond Twist Contour Wedding Band in 14K White Gold, $429.99  (20% off)
Diamond Two Row Band in 14K White Gold, 1/2 CT. T.W., $999.99, 21%, 1/2 CT. T.W. Diamond Two Row Band in 14K White Gold, $999.99  (21% off)
Vera Wang Love Collection  Diamond Band in 14K White Gold, 1/2 CT. T.W., $1299.99, 0, Vera Wang Love Collection 1/2 CT. T.W. Diamond Band in 14K White Gold, $1299.99
Enchanted Disney Princess  Diamond Contour Wedding Band in 14K White Gold, 1/5 CT. T.W., $799.99, 0, Enchanted Disney Princess 1/5 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $799.99
Diamond Contour Wedding Band in 14K White Gold, 1/4 CT. T.W., $599.99, 21%, 1/4 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $599.99  (21% off)
Diamond Double Contour Anniversary Band in 10K White Gold, 1/4 CT. T.W., $699.99, 20%, 1/4 CT. T.W. Diamond Double Contour Anniversary Band in 10K White Gold, $699.99  (20% off)
Enchanted Disney Princess  Diamond Contour Wedding Band in 14K White Gold, 1/5 CT. T.W., $799.99, 0, Enchanted Disney Princess 1/5 CT. T.W. Diamond Contour Wedding Band in 14K White Gold, $799.99
Enchanted Disney Villains Maleficent  Diamond Thorn Band in 14K White Gold with Black Rhodium, 1/10 CT. T.W., $799.99, 0, Enchanted Disney Villains Maleficent 1/10 CT. T.W. Diamond Thorn Band in 14K White Gold with Black Rhodium, $799.99
Diamond Twist Anniversary Band in 14K White Gold, 1/4 CT. T.W., $699.99, 20%, 1/4 CT. T.W. Diamond Twist Anniversary Band in 14K White Gold, $699.99  (20% off)
Ladies'  Certified Diamond Band in 14K White Gold (I/SI2), 1/2 CT. T.W., $1199.99, 20%, Ladies' 1/2 CT. T.W. Certified Diamond Band in 14K White Gold (I/SI2), $1199.99  (20% off)
Vera Wang Love Collection  Diamond Anniversary Band in 14K White Gold, 1/4 CT. T.W., $799.99, 0, Vera Wang Love Collection 1/4 CT. T.W. Diamond Anniversary Band in 14K White Gold, $799.99
